═══════════════════════════════════════════════════════════════
  LESSON 10 — Comprehensive Review  (SPELLING RULES)
  FOLDER:   assets/audio/pinyin/tones/
  TOTAL:    22 new files
═══════════════════════════════════════════════════════════════

  NOTE: Most of these were needed in earlier lessons too.
  Record once — they'll be shared across all lessons.

FILE NAME       SAY        NOTE (already listed in lessons 1-7)
──────────────────────────────────────────────────────────────
  bo1.mp3      → bō         (from Lesson 1 list)
  me1.mp3      → mē         (from Lesson 1 list)
  ni3.mp3      → nǐ         (from Lesson 1 list — you)
  bu4.mp3      → bù         (from Lesson 1 list)
  kai1.mp3     → kāi        (from Lesson 2 list — open)
  mei2.mp3     → méi        (from Lesson 2 list — no/eyebrow)
  gui1.mp3     → guī        (from Lesson 2 list — turtle)
  hao1.mp3     → hāo        (from Lesson 2 list)
  niu2.mp3     → niú        (from Lesson 2 list — cow)
  jie1.mp3     → jiē        (from Lesson 3 list — street)
  xue1.mp3     → xuē        (from Lesson 3 list — snow)
  fan1.mp3     → fān        (from Lesson 4 list — turn over)
  kun4.mp3     → kùn        (from Lesson 4 list — tired)
  fang1.mp3    → fāng       (from Lesson 5 list — direction)
  jiao1.mp3    → jiāo       (from Lesson 6 list — teach)
  tian1.mp3    → tiān       (from Lesson 6 list — sky/day)
  xiang1.mp3   → xiāng      (from Lesson 6 list — fragrant)
  hua1.mp3     → huā        (from Lesson 6 list — flower)
  guai1.mp3    → guāi       (from Lesson 6 list — well-behaved)
  guang1.mp3   → guāng      (from Lesson 6 list — light)
  xuan1.mp3    → xuān       (from Lesson 6 list — announce)
  ci2.mp3      → cí         (from Lesson 7 list — word/kind)
